timestamp,type,joints,pose
2026-07-29T15:48:55,arm,"[38.53, 71.34, 10.22, 73.87, 110.24, 30.53, 36.62]",NaN
2026-07-29T15:48:55,arm,"[41.62, 85.35, 13.94, 58.15, 117.41, 30.63, 42.83]",NaN
2026-07-29T15:49:01,gripper,NaN,0.00
2026-07-29T15:49:11,arm,"[31.01, 72.62, 10.89, 69.69, 116.45, 33.26, 50.01]",NaN
2026-07-29T16:14:50,arm,"[24.95, 68.29, 11.15, 73.30, 113.02, 38.86, 50.19]",NaN
2026-07-29T16:15:00,arm,"[22.64, 63.52, 9.25, 75.62, 113.09, 38.85, 52.00]",NaN
2026-07-29T16:17:07,arm,"[27.63, 62.92, -1.11, 67.48, 109.32, 38.85, 49.20]",NaN
