timestamp,type,joints,pose
2026-08-12T18:08:14,arm,"[65.81, 41.14, -36.89, 85.49, 109.51, 28.14, 47.33]",NaN
2026-08-12T18:08:22,arm,"[44.76, 53.89, -15.89, 67.49, 124.32, 39.20, 64.60]",NaN
2026-08-13T15:09:39,arm,"[45.59, 57.62, -7.86, 72.59, 128.94, 29.80, 66.23]","[334.85, 107.22, -370.68, -119.94, 33.29, 128.64, False, -7.86, [0, 0, -1, 0, 1, 0, 0, 0]]"
2026-08-13T15:09:50,arm,"[46.42, 74.11, -4.53, 69.92, 128.94, 40.28, 49.46]","[311.00, -20.70, -392.58, -128.86, 27.87, 121.26, False, -4.53, [0, 0, -1, 0, 1, 0, 0, 0]]"
2026-08-13T15:10:07,arm,"[45.03, 85.36, 1.97, 58.64, 129.79, 41.53, 49.25]","[301.26, -76.16, -417.62, -132.25, 22.70, 115.08, False, 1.97, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-08-13T15:10:44,arm,"[46.26, 86.10, 2.77, 54.32, 128.96, 36.93, 51.35]","[300.61, -72.43, -433.52, -129.80, 24.02, 117.43, False, 2.77, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-08-12T18:12:02,gripper,NaN,300.00
2026-08-12T18:17:29,arm,"[36.10, 78.14, 8.29, 61.55, 123.04, 34.53, 53.60]",NaN
