timestamp,type,joints,pose
2026-08-11T15:35:38,arm,"[35.46, 54.81, 17.46, 97.91, 115.27, 30.63, 42.17]","[226.07, 72.60, -350.46, -124.50, 28.53, 115.37, False, 17.46, [0, 0, 0, 1, 1, 0, 0, 0]]"
2026-08-11T15:36:15,arm,"[38.65, 58.81, 13.09, 107.71, 104.41, 46.04, 15.80]","[194.02, 29.72, -333.26, -134.39, 20.85, 113.73, False, 13.09, [0, 0, 0, 1, 1, 0, 0, 0]]"
2026-08-11T15:36:35,arm,"[40.24, 60.47, 13.08, 105.81, 104.94, 45.43, 15.75]","[190.11, 21.38, -343.36, -133.77, 20.83, 114.11, False, 13.08, [0, 0, 0, 1, 1, 0, 0, 0]]"
2026-08-11T15:36:38,gripper,NaN,0.00
2026-08-11T15:37:02,arm,"[33.29, 54.91, 12.52, 112.70, 104.74, 45.76, 18.20]","[209.19, 44.95, -296.93, -136.39, 24.38, 111.91, False, 12.52, [0, 0, 0, 1, 1, 0, 0, 0]]"
2026-08-11T15:37:17,arm,"[31.33, 52.94, 9.73, 112.09, 105.13, 45.59, 28.38]","[224.52, 52.67, -273.24, -130.15, 26.51, 113.51, False, 9.73, [0, 0, 0, 1, 1, 0, 0, 0]]"
2026-08-11T15:37:27,arm,"[39.82, 44.69, -0.56, 116.52, 81.19, 19.19, 2.02]","[262.56, 60.87, -250.40, -117.92, 34.69, 161.79, False, -0.56, [0, 0, -1, 1, 0, 0, 0, 0]]"
