timestamp,type,joints,pose
2026-07-29T15:48:55,arm,"[41.62, 85.35, 13.94, 58.15, 117.41, 30.63, 42.83]","[293.77, -71.40, -433.73, -133.41, 26.23, 115.71, False, 13.94, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-07-29T15:49:01,gripper,NaN,0.00
2026-07-29T15:49:11,arm,"[31.01, 72.62, 10.89, 69.69, 116.45, 33.26, 50.01]","[355.72, -0.32, -352.32, -133.25, 29.14, 116.13, False, 10.89, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-07-29T16:14:50,arm,"[24.95, 68.29, 11.15, 73.30, 113.02, 38.86, 50.19]","[381.29, 27.62, -311.50, -134.95, 25.83, 117.84, False, 11.15, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-07-29T16:15:00,arm,"[22.64, 63.52, 9.25, 75.62, 113.09, 38.85, 52.00]","[396.58, 56.59, -285.54, -135.47, 27.77, 119.80, False, 9.25, [0, 0, 0, 0, 1, 0, 0, 0]]"
2026-07-29T16:17:07,arm,"[27.63, 62.92, -1.11, 67.48, 109.32, 38.85, 49.20]","[439.16, 74.90, -285.65, -131.30, 31.59, 136.34, False, -1.11, [0, 0, -1, 0, 1, 0, 0, 0]]"
